"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"Australia","2020-01",0,NA,NA,0,NA,NA,NA,NA
"Australia","2020-02",0,NA,3.46573590279973,0,NA,3.46573590279973,NA,NA
"Australia","2020-03",0,NA,3.46573590279973,0,NA,5.5098180162005,NA,NA
"Australia","2020-04",0,NA,3.46573590279973,4,Inf,3.37782825072747,NA,NA
"Australia","2020-05",0,NA,3.46573590279973,7,0.0799451125622032,1.58469722946725,NA,1.60700044746242
"Australia","2020-06",0,NA,3.46573590279973,3,-0.121042551483886,0.726276107016739,NA,0.393114419079914
"Australia","2020-07",0,NA,3.46573590279973,1,-0.156944612666873,0.804797723224358,NA,0.27588510652105
"Australia","2020-08",0,NA,3.99646199740559,7,0.277987164150759,2.05624730142913,NA,3.96165515018757
"Australia","2020-09",1,Inf,3.44308713572453,7,0,2.07358006210926,NA,1.0000087081713
"Australia","2020-10",2,0.0990210257942779,1.9645594325016,51,0.283702211952716,3.32150922679815,1.77889778217829,4.04963264270788
"Australia","2020-11",2,0,1.34528878054836,218,0.207524204294966,3.64961962371283,1.0000087081713,2.97333161238471
"Australia","2020-12",2,0,1.61001413148738,1411,0.266794127009104,2.62111058690533,1.0000087081713,3.79281254045104
"Australia","2020-13",9,0.214868199539468,2.40643452958525,2384,0.0749258680474895,1.49050549871848,3.06820179443848,1.56356285859494
"Australia","2020-14",20,0.11407252803111,1.80460463161502,1651,-0.0524855120378732,0.821725148229341,1.92227013137962,0.69402078598069
"Australia","2020-15",25,0.0318776501877443,1.1940450057596,578,-0.149937510749679,0.465139999364955,1.22077002531469,0.296733585656856
"Australia","2020-16",9,-0.145950178218855,0.624016745441212,290,-0.0985275636702654,0.426091857126886,0.30902885895401,0.480334632490846
"Australia","2020-17",13,0.0525321114464739,0.994885191398008,101,-0.150680058019894,0.384067997389691,1.37867344498238,0.294478625471019
"Australia","2020-18",12,-0.0114346725247909,0.921308520564117,88,-0.0196833860518647,0.66976140054383,0.927391344150797,0.877103407890902
"Australia","2020-19",2,-0.255965638461151,0.397998635945206,140,0.0663293725901568,1.16212164701547,0.0754657288859858,1.4908765391398
"Australia","2020-20",1,-0.0990210257942779,0.570291581964137,104,-0.0424645033525617,0.858544033476257,0.478305122672897,0.747138033963227
"Australia","2020-21",4,0.198042051588556,1.5271514917415,64,-0.0693582593973858,0.735122989835522,2.85356636941736,0.610018666224463
"Australia","2020-22",0,-Inf,0.456755444310072,86,0.042209173270548,1.03551277534493,NA,1.29826314761637
"Australia","2020-23",0,NA,0.799532038951465,65,-0.0399942894796958,0.874591761045677,NA,0.760607563353438
"Australia","2020-24",0,NA,2.31835212209542,60,-0.0114346725247909,1.05510354098,NA,0.927391344150797
"Australia","2020-25",0,NA,4.26135259696767,141,0.122059332593724,1.67235341722128,NA,2.00116983162266
"Australia","2020-26",2,Inf,2.86326822321888,225,0.0667629302608931,1.85035929448317,NA,1.49449103089057
"Australia","2020-27",0,-Inf,1.11069924316507,763,0.174451089868577,2.12385973166359,NA,2.56873959520441
"Australia","2020-28",4,Inf,3.20671420680484,1348,0.0813027514553993,1.63670968891069,NA,1.61887702602566
"Australia","2020-29",14,0.178966138356481,2.46020892172527,2005,0.0567174354669167,1.41351226410852,2.6218164288427,1.41213406284331
"Australia","2020-30",33,0.12249289026446,1.907921067932,2601,0.0371788465297117,1.29584577135252,2.00550936894177,1.26016225654014
"Australia","2020-31",53,0.0676834788693774,1.57370696818343,3520,0.0432235718776416,1.23187637205562,1.50218351826824,1.3060320269201
"Australia","2020-32",87,0.0708023150146374,1.45284594074997,3161,-0.0153675080537893,0.957269815609485,1.52842850754976,0.903197606650352
