"","country","date","csum.cases"
"1","Afghanistan",2020-01-22,0
"2","Albania",2020-01-22,0
"3","Algeria",2020-01-22,0
"4","Andorra",2020-01-22,0
"5","Angola",2020-01-22,0
"6","Anguilla",2020-01-22,0
"7","Antigua and Barbuda",2020-01-22,0
"8","Argentina",2020-01-22,0
"9","Armenia",2020-01-22,0
"10","Aruba",2020-01-22,0
"11","Australia",2020-01-22,0
"12","Austria",2020-01-22,0
"13","Azerbaijan",2020-01-22,0
"14","Bahamas",2020-01-22,0
"15","Bahrain",2020-01-22,0
"16","Bangladesh",2020-01-22,0
"17","Barbados",2020-01-22,0
"18","Belarus",2020-01-22,0
"19","Belgium",2020-01-22,0
"20","Belize",2020-01-22,0
"21","Benin",2020-01-22,0
"22","Bermuda",2020-01-22,0
"23","Bhutan",2020-01-22,0
"24","Bolivia",2020-01-22,0
"25","Bonaire, Sint Eustatius and Saba",2020-01-22,0
"26","Bosnia and Herzegovina",2020-01-22,0
"27","Botswana",2020-01-22,0
"28","Brazil",2020-01-22,0
"29","British Virgin Islands",2020-01-22,0
"30","Brunei",2020-01-22,0
"31","Bulgaria",2020-01-22,0
"32","Burkina Faso",2020-01-22,0
"33","Myanmar",2020-01-22,0
"34","Burundi",2020-01-22,0
"35","Cabo Verde",2020-01-22,0
"36","Cambodia",2020-01-22,0
"37","Cameroon",2020-01-22,0
"38","Canada",2020-01-22,0
"39","Cayman Islands",2020-01-22,0
"40","Central African Republic",2020-01-22,0
"41","Chad",2020-01-22,0
"42","Channel Islands",2020-01-22,0
"43","Chile",2020-01-22,0
"44","China",2020-01-22,547
"45","Colombia",2020-01-22,0
"46","Comoros",2020-01-22,0
"47","Republic of the Congo",2020-01-22,0
"48","Democratic Republic of the Congo",2020-01-22,0
"49","Costa Rica",2020-01-22,0
"50","Cote d'Ivoire",2020-01-22,0
"51","Croatia",2020-01-22,0
"52","Cuba",2020-01-22,0
"53","Curacao",2020-01-22,0
"54","Cyprus",2020-01-22,0
"55","Czech Republic",2020-01-22,0
"56","Denmark",2020-01-22,0
"57","Diamond Princess",2020-01-22,0
"58","Djibouti",2020-01-22,0
"59","Dominica",2020-01-22,0
"60","Dominican Republic",2020-01-22,0
"61","Ecuador",2020-01-22,0
"62","Egypt",2020-01-22,0
"63","El Salvador",2020-01-22,0
"64","Equatorial Guinea",2020-01-22,0
"65","Eritrea",2020-01-22,0
"66","Estonia",2020-01-22,0
"67","Eswatini",2020-01-22,0
"68","Ethiopia",2020-01-22,0
"69","Falkland Islands (Malvinas)",2020-01-22,0
"70","Faroe Islands",2020-01-22,0
"71","Fiji",2020-01-22,0
"72","Finland",2020-01-22,0
"73","France",2020-01-22,0
"74","French Guiana",2020-01-22,0
"75","French Polynesia",2020-01-22,0
"76","Gabon",2020-01-22,0
"77","Gambia",2020-01-22,0
"78","Georgia",2020-01-22,0
