;all.days;med;lo;up
1;2020-08-15;0;0;0
2;2020-08-16;0;0;0
3;2020-08-17;0;0;0
4;2020-08-18;0;0;0
5;2020-08-19;0;0;0
6;2020-08-20;0;0;0
7;2020-08-21;0;0;0
8;2020-08-22;0;0;0
9;2020-08-23;0;0;0
10;2020-08-24;0;0;0
11;2020-08-25;0;0;0
12;2020-08-26;0;0;0
13;2020-08-27;0;0;0
14;2020-08-28;0;0;0
15;2020-08-29;0;0;0
16;2020-08-30;0;0;0
17;2020-08-31;0;0;0
18;2020-09-01;0;0;0
19;2020-09-02;0;0;0
20;2020-09-03;0;0;0
21;2020-09-04;0;0;0
22;2020-09-05;0;0;0
23;2020-09-06;0;0;0
24;2020-09-07;0;0;0
25;2020-09-08;0;0;0
26;2020-09-09;0;0;0.0671277069823043
27;2020-09-10;0;0;0.246815871811813
28;2020-09-11;0;0;0.311485257798777
29;2020-09-12;0;0;0.332106399646413
30;2020-09-13;0;0;0.371112396578128
31;2020-09-14;0;0;0.486649962250997
32;2020-09-15;0;0;0.57771813879866
33;2020-09-16;0.0696888425542517;0;0.803549989970825
34;2020-09-17;0.132303960736736;0;0.867818923014029
35;2020-09-18;0.23671366490862;0;0.921636698963865
36;2020-09-19;0.319123531702571;0;0.947807876211901
37;2020-09-20;0.444974072050618;0;0.97366968533421
38;2020-09-21;0.663191166147588;0.0595854750022903;0.998182073712082
39;2020-09-22;0.74381680818893;0.117603661029362;1.00273926388285
40;2020-09-23;0.801333171653595;0.188784127241332;1.00506957204571
41;2020-09-24;0.921429582567507;0.449392973512927;1.00724872965432
42;2020-09-25;0.947793048089404;0.54949269268847;1.00760120839709
43;2020-09-26;0.957183378621166;0.585033712657549;1.01231751616255
44;2020-09-27;0.983596926665748;0.7222747020309;1.01779079678801
45;2020-09-28;0.992410924057225;0.783915816705303;1.0192295280942
46;2020-09-29;1.00085245203672;0.841042235211991;1.02505993821378
47;2020-09-30;1.00490548589072;0.889579988139986;1.02553979793866
48;2020-10-01;1.00916525752979;0.970391521415223;1.02630004804261
49;2020-10-02;1.0098839274503;0.986890125582519;1.02718591399472
50;2020-10-03;1.0151068562367;0.995038924716639;1.03895362657746
51;2020-10-04;1.0218121046848;1.00032881939824;1.05434313785181
52;2020-10-05;1.02383006212765;1.00888984037161;1.05868060560535
53;2020-10-06;1.02458125750152;1.01140973145159;1.06029285170659
54;2020-10-07;1.02530496441805;1.0124737215583;1.06191019785196
55;2020-10-08;1.02590279048366;1.01295169077417;1.06307400669836
56;2020-10-09;1.02632983165315;1.01329116280672;1.06398721434898
57;2020-10-10;1.0424214556356;1.02178548415636;1.09638402569081
58;2020-10-11;1.06192761804332;1.03174085450896;1.13452032594906
59;2020-10-12;1.06685131093942;1.03410898613797;1.14462481800076
60;2020-10-13;1.06778853200482;1.0345659294716;1.14658539176047
61;2020-10-14;1.06934232851087;1.03529352280163;1.14977796579438
62;2020-10-15;1.07030270564395;1.03584017376881;1.15177001399605
63;2020-10-16;1.07205607741889;1.03663237894288;1.15499177605907
64;2020-10-17;1.12202356846379;1.0598036733227;1.24753479165158
65;2020-10-18;1.17376194179365;1.08413668707934;1.34399858025415
66;2020-10-19;1.18767720146006;1.09009358967529;1.37404425331785
67;2020-10-20;1.19007193144117;1.09116176107896;1.3792443854637
68;2020-10-21;1.19232419943779;1.09208186189373;1.38434222966422
69;2020-10-22;1.19506352291045;1.09302760254641;1.38996481268821
70;2020-10-23;1.19844359540038;1.09426867977465;1.39703563620342
71;2020-10-24;1.30811585797786;1.14197256647662;1.5860022597094
72;2020-10-25;1.4434896480285;1.20055626007793;1.81832999971924
73;2020-10-26;1.49300116673612;1.21834204144777;1.93026541398095
74;2020-10-27;1.51226490355324;1.22582085252523;1.97266441454337
75;2020-10-28;1.52041575554006;1.22903073336669;1.99006657628956
76;2020-10-29;1.5482729507528;1.23823802254905;2.05041652662933
77;2020-10-30;1.57254229027374;1.24658956981263;2.10911051950221
78;2020-10-31;1.87241023479749;1.37097864719815;2.55722895363991
79;2020-11-01;2.14285014781359;1.50387782127126;2.90466294819369
80;2020-11-02;2.2194438375609;1.52898458004559;3.08164878258442
81;2020-11-03;2.26824241542014;1.54337534636847;3.1999311792994
82;2020-11-04;2.28952568683035;1.54997571105201;3.25380610735545
83;2020-11-05;2.364983293186;1.57315849178243;3.44951442943138
84;2020-11-06;2.42322629096141;1.59006407698617;3.59666047372251
85;2020-11-07;2.71629733206187;1.73875532088107;4.0139468181134
86;2020-11-08;2.99393431719215;1.90279197457001;4.44764508651386
87;2020-11-09;3.21529206909303;1.97609268165728;4.9470079830119
88;2020-11-10;3.37436769141459;2.1094031127543;5.20984600343769
89;2020-11-11;3.47313822801069;2.14015545966165;5.43588701017523
90;2020-11-12;3.54770674027414;2.165807931598;5.59348395920132
91;2020-11-13;3.63012162653482;2.19500578492358;5.75037819687192
92;2020-11-14;3.87748440698011;2.39557761645928;6.07136685806362
93;2020-11-15;4.06997515243606;2.54902908920456;6.39069941861407
94;2020-11-16;4.38039242339145;2.6836288684734;6.89363376788807
95;2020-11-17;4.49598370148937;2.73251364916037;7.10309950854988
96;2020-11-18;4.58564425645769;2.77462034722526;7.260931067674
97;2020-11-19;4.7101286270597;2.83533899577001;7.46535697983117
98;2020-11-20;4.89048142419732;2.91821604590712;7.75588570692068
99;2020-11-21;5.15789210400583;3.17171177169591;8.00728520396986
100;2020-11-22;5.49187161175766;3.4371656373074;8.34495960706866
101;2020-11-23;5.92375392470507;3.69160523534836;8.86709766809009
102;2020-11-24;6.16207534455667;3.82805416542918;9.16347686162893
103;2020-11-25;6.27853497212342;3.89543889497154;9.32506687759945
104;2020-11-26;6.54695912512549;4.05497011408457;9.66396770777236
105;2020-11-27;6.80638334052555;4.22765436601205;9.95701338557761
106;2020-11-28;7.11523257564393;4.49945995163691;10.2471991281814
107;2020-11-29;7.41303262767576;4.81805724775497;10.4580122902875
108;2020-11-30;7.90861562941812;5.1876696630025;11.0456202865233
109;2020-12-01;8.20610581842135;5.39694438448841;11.4292517227996
110;2020-12-02;8.61323448855579;5.68832770302859;11.9012145692774
111;2020-12-03;9.05726423459197;6.01114335302829;12.3777336463519
112;2020-12-04;9.24894175976497;6.16739918529556;12.6098002758144
113;2020-12-05;9.58171082481023;6.48712963605856;12.9094316803946
114;2020-12-06;9.993059691695;6.94279637157705;13.2686276371834
115;2020-12-07;10.7738595426112;7.63047819641634;14.1368515127467
116;2020-12-08;11.2150530261399;8.02018925699964;14.5880412199917
117;2020-12-09;11.5567341159303;8.31581584321824;14.8931684372364
118;2020-12-10;11.7633191795697;8.50363652892857;15.084323444257
119;2020-12-11;13.0615138188178;9.73359635085091;16.3173723518948
120;2020-12-12;13.403304695059;10.1819798508114;16.5901864433702
121;2020-12-13;13.6838549494173;10.5423759504937;16.8544203471604
122;2020-12-14;14.4680241061181;11.3135578990944;17.5261546355826
123;2020-12-15;14.7544355949935;11.5784807694067;17.8182740009709
124;2020-12-16;15.0678459523646;11.8942561468301;18.098982883092
125;2020-12-17;15.4013608437136;12.2088499498183;18.4937485761861
126;2020-12-18;15.7378379514294;12.4981856524174;18.9117722127277
127;2020-12-19;21.7918831782195;18.2040253722307;25.2120494930315
128;2020-12-20;25.353717404984;21.1989021400335;29.0840745365886
129;2020-12-21;30.0455079642788;25.372906680117;33.9053090041968
130;2020-12-22;34.025653418393;29.2360943043515;37.5947376180388
131;2020-12-23;35.2640757068684;30.4822147135642;38.827990617863
132;2020-12-24;36.956804535064;32.1168667009654;40.6542903549539
133;2020-12-25;38.8010081186086;33.891451561914;42.7735033886051
134;2020-12-26;40.0244391050591;35.3887585234159;43.7410617715243
135;2020-12-27;40.825529335724;36.298684267615;44.4932411267422
136;2020-12-28;42.6612217594014;37.9237910862198;46.4500012504447
137;2020-12-29;43.3953768826209;38.5423953688641;47.3112702599665
138;2020-12-30;44.5931830179736;39.3694713553474;48.8769318539265
139;2020-12-31;45.1559079815751;39.9252804738516;49.4543386536904
140;2021-01-01;46.1886307147633;40.7656391139759;50.3250172646815
141;2021-01-02;47.417763215935;41.8584685914582;51.9075131959097
142;2021-01-03;47.9810690991246;42.4106761304708;52.534471587931
143;2021-01-04;49.3792244365586;43.8540072606251;53.7145027461002
144;2021-01-05;50.152257856474;44.5190613021688;54.4982625346596
145;2021-01-06;51.1479525439369;45.2546967369048;55.8279130738227
146;2021-01-07;52.0325970059584;45.9143962630874;56.8666143809823
