;all.days;med;lo;up
1;2020-08-15;0;0;0
2;2020-08-16;0;0;0
3;2020-08-17;0;0;0
4;2020-08-18;0;0;0
5;2020-08-19;0;0;0
6;2020-08-20;0;0;0
7;2020-08-21;0;0;0
8;2020-08-22;0;0;0
9;2020-08-23;0;0;0
10;2020-08-24;0;0;0
11;2020-08-25;0;0;0
12;2020-08-26;0;0;0
13;2020-08-27;0;0;0
14;2020-08-28;0;0;0
15;2020-08-29;0;0;0
16;2020-08-30;0;0;0
17;2020-08-31;0;0;0
18;2020-09-01;0;0;0
19;2020-09-02;0;0;0
20;2020-09-03;0;0;0
21;2020-09-04;0;0;0
22;2020-09-05;0;0;0
23;2020-09-06;0;0;0
24;2020-09-07;0;0;0
25;2020-09-08;0;0;0
26;2020-09-09;0;0;0.63370484939858
27;2020-09-10;0;0;0.962379946325079
28;2020-09-11;0;0;1.00922595959095
29;2020-09-12;0;0;1.01848115015878
30;2020-09-13;0;0;1.02926581569503
31;2020-09-14;0;0;1.04093677016413
32;2020-09-15;0;0;1.05440797856458
33;2020-09-16;0.63360686463844;0;1.06995461000878
34;2020-09-17;0.962499027872588;0;1.08789303750703
35;2020-09-18;1.00869162413348;0;1.10858673931244
36;2020-09-19;1.01750901220336;0;1.13245293935088
37;2020-09-20;1.02782520859313;0;1.15997005879992
38;2020-09-21;1.03893549541906;0.633496509879072;1.18933787671683
39;2020-09-22;1.05186861019592;0.964011698076446;1.22342472468538
40;2020-09-23;1.06692117475931;1.0084329115704;1.2624842234427
41;2020-09-24;1.0844371972098;1.01693051142273;1.30780986533509
42;2020-09-25;1.10481534181363;1.02733554550549;1.36393306158336
43;2020-09-26;1.12858376940562;1.03989640087677;1.42561136522287
44;2020-09-27;1.15685867519946;1.05506328123467;1.49579746295817
45;2020-09-28;1.18810371261475;1.07190587085834;1.56877017361495
46;2020-09-29;1.22473698736668;1.09216467377937;1.65208837224615
47;2020-09-30;1.26890047854081;1.11646297010981;1.74665271510843
48;2020-10-01;1.32102046226643;1.14536200417494;1.86155295580003
49;2020-10-02;1.38107365860256;1.18016621010568;1.99577365956817
50;2020-10-03;1.45157523427424;1.2193988943126;2.14751390197314
51;2020-10-04;1.53481865643708;1.26515086400253;2.33128590389476
52;2020-10-05;1.63340003233483;1.31936266029283;2.54481393407333
53;2020-10-06;1.7480266229075;1.38187131544526;2.7742448747657
54;2020-10-07;1.8819285061585;1.45715078615092;3.04379945568775
55;2020-10-08;2.03760602358675;1.54455585686825;3.3315599709854
56;2020-10-09;2.22134148379484;1.64049447501961;3.67566745060086
57;2020-10-10;2.43404804978931;1.75531436489979;4.06149545864651
58;2020-10-11;2.68337806161567;1.88857588793617;4.49967220440583
59;2020-10-12;2.94556962371009;2.03004537563496;4.95075453487392
60;2020-10-13;3.2487457719076;2.18768584176126;5.46229145738079
61;2020-10-14;3.59584793435937;2.36783517518735;6.01476249577698
62;2020-10-15;3.99521017143471;2.5766732139741;6.66702790035986
63;2020-10-16;4.45095981102374;2.81348110702022;7.36481821706258
64;2020-10-17;4.97015871981463;3.08203538878147;8.15862065697849
65;2020-10-18;5.54889944556757;3.39329393966152;9.04506167034381
66;2020-10-19;6.13169609869152;3.70427408358883;9.90878283691958
67;2020-10-20;6.78723922891006;4.04416148046912;10.8902474207193
68;2020-10-21;7.51923725421893;4.44483451206174;11.9272782508701
69;2020-10-22;8.33497835128459;4.8936115950113;13.0469261689525
70;2020-10-23;9.22198569565895;5.38514189757363;14.2155589684937
71;2020-10-24;10.1703400353731;5.89969713808926;15.5168178751185
72;2020-10-25;11.2039194618567;6.49243843467689;16.887910774636
73;2020-10-26;12.2980067690382;7.11974298724166;18.3398333513528
74;2020-10-27;13.4591076098085;7.80598546085606;19.8755236306497
75;2020-10-28;14.7149717644301;8.55455486063063;21.4338605527094
76;2020-10-29;16.0027795112817;9.32865278214594;23.1271693516822
77;2020-10-30;17.3646415327988;10.1410865298084;24.8294282896076
78;2020-10-31;18.7942500436498;11.0418046614082;26.6180922510142
79;2020-11-01;20.2722683864031;12.0412627476999;28.542367639028
80;2020-11-02;21.4490912438176;12.7034206298561;30.1333478762276
81;2020-11-03;22.7378130163302;13.4467364924347;31.9350397512849
82;2020-11-04;24.0939179269866;14.2571073695854;33.746624136827
83;2020-11-05;25.5385576882021;15.1289530712554;35.6268750160204
84;2020-11-06;27.0722847636491;16.0967808712854;37.607933202791
85;2020-11-07;28.6444116838141;17.0964698526521;39.6016868272844
86;2020-11-08;30.2111560330003;18.2015949076591;41.5139918643382
87;2020-11-09;31.7889940493547;19.3551212829873;43.2992130131849
88;2020-11-10;33.3014082797048;20.5051214759052;44.9056887565313
89;2020-11-11;34.7474379125649;21.6745202542032;46.3210091328964
90;2020-11-12;36.1266295957787;22.8396444522749;47.6038506155612
91;2020-11-13;37.4465963050095;23.9817143381963;48.7270545758365
92;2020-11-14;38.7332476577035;25.1552168848859;49.7616903139086
93;2020-11-15;39.9482883491301;26.3355101493229;50.7055052108981
94;2020-11-16;41.137837214914;27.5165074876376;51.56872240239
95;2020-11-17;42.2543239264081;28.7330714491757;52.3877340926196
96;2020-11-18;43.3266168182182;29.9698015766511;53.1634890557608
97;2020-11-19;44.38270390625;31.2208936090353;53.8673895937111
98;2020-11-20;45.3940239999652;32.4621362542433;54.5195242544801
99;2020-11-21;46.3783486236352;33.6614716316699;55.1560802892006
100;2020-11-22;47.3132007090891;34.9379285814394;55.7438998885367
101;2020-11-23;48.3368411339046;36.3287980894855;56.3517384756508
102;2020-11-24;49.3220750262248;37.6623457118736;56.9360142993985
103;2020-11-25;50.2380115397293;39.0161855640688;57.4891175891332
104;2020-11-26;51.0861632509474;40.3422101131283;58.0150481059493
105;2020-11-27;51.9275189494269;41.6616326875322;58.5086436654584
106;2020-11-28;52.7177445721243;42.927533725677;58.987827524924
107;2020-11-29;53.4318974311341;44.1883138382506;59.4488834567886
108;2020-11-30;54.2302076756694;45.5095614897308;59.9493409009937
109;2020-12-01;54.973241430164;46.7819149472572;60.4293510109068
110;2020-12-02;55.6678493504332;47.9569408536552;60.883004358587
111;2020-12-03;56.3581022647008;49.0358332361796;61.2723386751473
112;2020-12-04;56.9914834172427;50.1483676280863;61.6974017101112
113;2020-12-05;57.6069358125086;51.0748879179844;62.0711676290766
114;2020-12-06;58.2066155350595;52.0099878339501;62.4485233482694
115;2020-12-07;58.8243771579112;53.0390361236391;62.8350744777551
116;2020-12-08;59.4059527138652;53.9760448268387;63.1879209411178
117;2020-12-09;59.9692110538702;54.8114347488008;63.540727299779
118;2020-12-10;60.517639171259;55.6281258096936;63.8791140602858
119;2020-12-11;61.0372008074422;56.3726984970671;64.2060995447661
120;2020-12-12;61.5201169795446;57.0848866238296;64.5149144223735
121;2020-12-13;61.9874793668219;57.8014038343523;64.8032672352061
122;2020-12-14;62.4505720215029;58.4736549057153;65.0715507523684
123;2020-12-15;62.8922223666719;59.0950489094913;65.3408692355803
124;2020-12-16;63.2942602468738;59.728270884334;65.5891998908425
125;2020-12-17;63.6718834463931;60.2891720904523;65.8366945291363
126;2020-12-18;64.0351174680148;60.8459236292348;66.0817119785392
127;2020-12-19;64.3674737701191;61.3609301033845;66.3132215770992
128;2020-12-20;64.6805931519922;61.8133384367051;66.5309374019021
129;2020-12-21;64.9800423438878;62.2394818238008;66.7397974794226
130;2020-12-22;65.2531059812623;62.6287242434935;66.9623477507312
131;2020-12-23;65.507095128817;62.9893065003784;67.1770649099468
132;2020-12-24;65.7475504368675;63.3650030068897;67.3784832769684
133;2020-12-25;65.973198202795;63.6876420834733;67.5814480769557
134;2020-12-26;66.1985832636474;63.9758577394695;67.7878227480849
135;2020-12-27;66.4070467761085;64.2597257594495;68.0118747212501
136;2020-12-28;66.6038272353505;64.4977760704238;68.2298271199754
137;2020-12-29;66.7936395848503;64.7304780756158;68.4198040116148
138;2020-12-30;66.9820582653232;64.9421530799135;68.618902123635
139;2020-12-31;67.1650783760838;65.1636536875677;68.8218706520689
140;2021-01-01;67.3387200031367;65.359528425616;69.021735787033
141;2021-01-02;67.5147568190285;65.5529985060293;69.2319303092473
142;2021-01-03;67.6840781249304;65.7362640024702;69.4393219984855
143;2021-01-04;67.8479395091951;65.8957327863203;69.6366825894837
144;2021-01-05;68.0099014411223;66.0482937828104;69.8294129300617
145;2021-01-06;68.1654428091644;66.2116063504229;70.0233927235863
146;2021-01-07;68.3252326278013;66.3674730284395;70.2013897410539
