;all.days;med;lo;up
1;2020-08-15;0;0;0
2;2020-08-16;0;0;0
3;2020-08-17;0;0;0
4;2020-08-18;0;0;0
5;2020-08-19;0;0;0
6;2020-08-20;0;0;0
7;2020-08-21;0;0;0
8;2020-08-22;0;0;0
9;2020-08-23;0;0;0
10;2020-08-24;0;0;0
11;2020-08-25;0;0;0
12;2020-08-26;0;0;0
13;2020-08-27;0;0;0
14;2020-08-28;0;0;0
15;2020-08-29;0;0;0
16;2020-08-30;0;0;0
17;2020-08-31;0;0;0
18;2020-09-01;0;0;0
19;2020-09-02;0;0;0
20;2020-09-03;0;0;0
21;2020-09-04;0;0;0
22;2020-09-05;0;0;0
23;2020-09-06;0;0;0
24;2020-09-07;0;0;0
25;2020-09-08;0;0;0
26;2020-09-09;0;0;0
27;2020-09-10;0;0;0
28;2020-09-11;0;0;0
29;2020-09-12;0;0;0
30;2020-09-13;0;0;0
31;2020-09-14;0;0;0.000831956523229023
32;2020-09-15;0;0;0.000831956523229023
33;2020-09-16;0;0;0.000831967188027968
34;2020-09-17;0;0;0.000831967188027968
35;2020-09-18;0;0;0.000832004831937311
36;2020-09-19;0;0;0.000832004831937311
37;2020-09-20;0;0;0.000832004831937311
38;2020-09-21;0;0;0.0123146715048315
39;2020-09-22;4.059613920409E-09;0;0.0123148188093205
40;2020-09-23;4.059613920409E-09;0;0.0123148188093205
41;2020-09-24;6.54763980693656E-08;0;0.0123156720862702
42;2020-09-25;6.54763980693656E-08;0;0.0123161709565641
43;2020-09-26;6.54763980693656E-08;0;0.0123161709565641
44;2020-09-27;6.54763980693656E-08;0;0.0123161709565641
45;2020-09-28;0.00860921718213488;0;0.145987975201437
46;2020-09-29;0.00860922247524983;0;0.145990729250776
47;2020-09-30;0.00861052550218462;0;0.14600353830651
48;2020-10-01;0.0267144131706012;0.000204843655655818;0.488968441821791
49;2020-10-02;0.0267144142982717;0.000204843655655818;0.488969120940551
50;2020-10-03;0.0267144142982717;0.000204843655655818;0.488969188167493
51;2020-10-04;0.0267144142982717;0.000204843655655818;0.488969188167493
52;2020-10-05;0.274223633510819;0.0852085191285721;0.827191649839882
53;2020-10-06;0.27422777105936;0.0852107448033231;0.827202175804614
54;2020-10-07;0.276424919400952;0.0856895966539118;0.8287198323528
55;2020-10-08;0.313493231186575;0.0917704230409206;0.883227452433914
56;2020-10-09;0.313493322444638;0.0917704662174567;0.883227858541121
57;2020-10-10;0.313493322444638;0.0917704662174567;0.883227861483595
58;2020-10-11;0.313493333529019;0.0917704727316412;0.883227889202978
59;2020-10-12;0.508570824800706;0.198624380553544;0.95764996122287
60;2020-10-13;0.50858894805246;0.198626686410215;0.957769513076744
61;2020-10-14;0.762626580350529;0.355289075155351;0.994603633486639
62;2020-10-15;0.762770473909709;0.355328439377518;0.995315615815686
63;2020-10-16;0.762771888003227;0.355328867381982;0.995321452678177
64;2020-10-17;0.762772254811268;0.355328941313524;0.995324300333966
65;2020-10-18;0.762772254811268;0.355328941313524;0.995324300333966
66;2020-10-19;0.972282862974382;0.798885698352881;1.00108213683924
67;2020-10-20;0.99933979095166;0.966098152913131;1.00117200949787
68;2020-10-21;0.999350024988377;0.966104430511964;1.00120515964045
69;2020-10-22;0.999450401940864;0.966153413335319;1.00143239286646
70;2020-10-23;0.999522123262163;0.967224537865378;1.00146082393409
71;2020-10-24;0.999522278128749;0.967224537865378;1.00146246933502
72;2020-10-25;0.999522278128749;0.967224537865378;1.00146246933502
73;2020-10-26;1.00037707977401;0.996117137786858;1.00146648273492
74;2020-10-27;1.00146342915039;1.0005618817726;1.00358612668485
75;2020-10-28;1.00172853912386;1.00069490848387;1.00417442691495
76;2020-10-29;1.00177650833659;1.00071922143693;1.00426093212202
77;2020-10-30;1.00247244366694;1.00106928996873;1.00566548973305
78;2020-10-31;1.0024726090155;1.00106937534978;1.00566584248329
79;2020-11-01;1.0024726090155;1.00106937534978;1.00566584248329
80;2020-11-02;1.00508236343352;1.00229701085514;1.01091633762819
81;2020-11-03;1.00537440418248;1.00242387530884;1.01150756638709
82;2020-11-04;1.01589965892097;1.00624598995219;1.03502874984238
83;2020-11-05;1.03380169908629;1.01330058699877;1.07415668324125
84;2020-11-06;1.04073226127261;1.01580757845294;1.08975776100489
85;2020-11-07;1.04073306914243;1.01580799200136;1.08975901875779
86;2020-11-08;1.04600305000473;1.01766411982165;1.1013938766636
87;2020-11-09;1.0622121509085;1.02295308898761;1.13917304219137
88;2020-11-10;1.06261889407527;1.02310376911898;1.14009721902465
89;2020-11-11;1.06477255738412;1.02389779209435;1.14526920298111
90;2020-11-12;1.06480061984128;1.02390936236437;1.14533661791204
91;2020-11-13;1.07096505356899;1.02592298588805;1.16076226499954
92;2020-11-14;1.07096505356899;1.02592298588805;1.16076226499954
93;2020-11-15;1.07096505356899;1.02592298588805;1.16076226499954
94;2020-11-16;1.09662272372041;1.03350348820146;1.22637838597213
95;2020-11-17;1.09761823373898;1.03389076611954;1.22827110900379
96;2020-11-18;1.0980524179637;1.03408286972284;1.22917288280545
97;2020-11-19;1.09805572696778;1.03408446199575;1.22918001511675
98;2020-11-20;1.14313960606345;1.04940637421285;1.33554861119983
99;2020-11-21;1.14314620906885;1.04940966612666;1.33556351000658
100;2020-11-22;1.14315587551684;1.04941346867928;1.33558631717151
101;2020-11-23;1.15757656648742;1.05450948786774;1.3688535740819
102;2020-11-24;1.35418775542168;1.13640825489126;1.74813063027155
103;2020-11-25;1.41058412968294;1.15561583883895;1.87089138734863
104;2020-11-26;1.4115719312003;1.15597614025614;1.87350816282202
105;2020-11-27;1.41317914240881;1.15644931399228;1.87762791073484
106;2020-11-28;1.41317914240881;1.15644931399228;1.87762791073484
107;2020-11-29;1.42073081634089;1.15895609262696;1.89193540358563
108;2020-11-30;1.48548038622771;1.18469660283631;2.02542772550713
109;2020-12-01;1.48580766644861;1.18480472113232;2.02611213428724
110;2020-12-02;1.57890162664474;1.21514794151685;2.24689274982296
111;2020-12-03;1.62347003006182;1.23237520441818;2.3297945566183
112;2020-12-04;1.74642783420709;1.287538073436;2.55269066505651
113;2020-12-05;1.74642810028539;1.2875381891528;2.55269129590567
114;2020-12-06;1.74893179735551;1.28858739880895;2.5584205686965
115;2020-12-07;1.79173448872964;1.31210296744119;2.63475554380693
116;2020-12-08;1.79277084623559;1.31252463182542;2.63756802068881
117;2020-12-09;2.08463563553715;1.44384832487589;3.09126732304866
118;2020-12-10;2.09282331584577;1.4485418640858;3.09718445254182
119;2020-12-11;2.29611936448032;1.54328165107223;3.46086493057361
120;2020-12-12;2.29962536120828;1.54505053234314;3.46855674509021
121;2020-12-13;2.30017396566974;1.54536416783808;3.46971381868658
122;2020-12-14;2.31045516547215;1.54878509784743;3.49073265139084
123;2020-12-15;2.42748259420768;1.62901420504853;3.64605636767036
124;2020-12-16;2.44287446389084;1.63439983972296;3.68174811437646
125;2020-12-17;3.58323705977347;2.68130338367042;4.84461862020876
126;2020-12-18;3.93283577439905;2.86799114942765;5.39346212415797
127;2020-12-19;4.15788586429229;3.08634646589928;5.55003956507154
128;2020-12-20;4.18545227630954;3.09688144879626;5.61814860846716
129;2020-12-21;4.56800978217312;3.29068112157037;6.22804302224468
130;2020-12-22;5.39077260424031;3.9091363061101;7.11102718530136
131;2020-12-23;6.57140278739708;4.84421916554753;8.45561402471104
132;2020-12-24;8.31932157978045;6.4825813793981;10.3196012441571
133;2020-12-25;9.92664328988837;7.77611589686525;12.3571069113077
134;2020-12-26;11.2723169425419;8.74361880563735;13.9635802767774
135;2020-12-27;12.4156375291902;9.65284436290961;15.2431816126913
136;2020-12-28;13.9217953960287;11.0035713004371;16.8529291057922
137;2020-12-29;15.1617392691961;12.0557329349852;18.2349358375908
138;2020-12-30;16.2358853844686;12.9006495434134;19.4704658587017
139;2020-12-31;17.2241195844375;13.7188692553488;20.6151844154336
140;2021-01-01;19.1317765032804;15.2449982206076;22.837208727292
141;2021-01-02;20.703696876169;16.490957135904;24.6088464499395
142;2021-01-03;23.0598779701143;18.5211081654605;27.2329845547639
143;2021-01-04;24.6966137830782;19.9054055463196;29.0044471763907
144;2021-01-05;26.8489162631444;21.8082889150565;31.2690723912693
145;2021-01-06;28.9991084098383;23.8481836657725;33.4262406612583
146;2021-01-07;30.4825341241741;25.2798757009205;34.9393005796859
