;all.days;med;lo;up
1;2020-08-15;0;0;0
2;2020-08-16;0;0;0
3;2020-08-17;0;0;0
4;2020-08-18;0;0;0
5;2020-08-19;0;0;0
6;2020-08-20;0;0;0
7;2020-08-21;0;0;0
8;2020-08-22;0;0;0
9;2020-08-23;0;0;0
10;2020-08-24;0;0;0
11;2020-08-25;0;0;0
12;2020-08-26;0;0;0
13;2020-08-27;0;0;0
14;2020-08-28;0;0;0
15;2020-08-29;0;0;0
16;2020-08-30;0;0;0
17;2020-08-31;0;0;0
18;2020-09-01;0;0;0
19;2020-09-02;0;0;0
20;2020-09-03;0;0;0
21;2020-09-04;0;0;0
22;2020-09-05;0;0;0
23;2020-09-06;0;0;0
24;2020-09-07;0;0;0
25;2020-09-08;0;0;0
26;2020-09-09;0;0;0.0671245612848304
27;2020-09-10;0;0;0.246805988418351
28;2020-09-11;0;0;0.311469833274657
29;2020-09-12;0;0;0.332065658332065
30;2020-09-13;0;0;0.371054188701176
31;2020-09-14;0;0;0.486548433731809
32;2020-09-15;0;0;0.577581711353061
33;2020-09-16;0.0696840492323672;0;0.803363167637772
34;2020-09-17;0.132296275067292;0;0.867615872520044
35;2020-09-18;0.236693541193818;0;0.921384092746169
36;2020-09-19;0.319097836991149;0;0.947537570619782
37;2020-09-20;0.444943384768812;0;0.973385914724424
38;2020-09-21;0.663115846581377;0.0595799623236473;0.99777894205959
39;2020-09-22;0.743732703796481;0.117596091498942;1.00231240294072
40;2020-09-23;0.801205912532537;0.18876214911237;1.00452902187779
41;2020-09-24;0.921273558860131;0.449358786536068;1.00663301155425
42;2020-09-25;0.947625582887474;0.549452700737168;1.00696273436078
43;2020-09-26;0.956993480539917;0.584981913347872;1.01159838800766
44;2020-09-27;0.983393733008104;0.722215893829913;1.01704981234082
45;2020-09-28;0.992109497578883;0.783803733254276;1.01826282865508
46;2020-09-29;1.00047203458086;0.840885275750172;1.02386427578076
47;2020-09-30;1.00448970986992;0.889403611356522;1.02432229757698
48;2020-10-01;1.00858881039139;0.970131974218226;1.02469831921417
49;2020-10-02;1.00918554214047;0.986561129890862;1.02532976208659
50;2020-10-03;1.01435913958678;0.994677791883805;1.03694041812566
51;2020-10-04;1.02089049389672;0.999884240403912;1.0518947279936
52;2020-10-05;1.02269173871023;1.00831545989875;1.05575695220116
53;2020-10-06;1.02323142122308;1.01071796783635;1.05690106106258
54;2020-10-07;1.02374489219182;1.01169365237598;1.05808346132921
55;2020-10-08;1.02427616919718;1.01211988171537;1.05913987722664
56;2020-10-09;1.02464156930487;1.01241340879079;1.05985569111191
57;2020-10-10;1.04073019571406;1.02090772157322;1.09219663792951
58;2020-10-11;1.0597937186112;1.03064319847944;1.12950597489188
59;2020-10-12;1.06436583988482;1.03283925595283;1.13899724435774
60;2020-10-13;1.06511383317763;1.03318937521461;1.14045146002143
61;2020-10-14;1.06659468428348;1.03392392660687;1.14355783355509
62;2020-10-15;1.06751146427792;1.03445330476977;1.14547690544388
63;2020-10-16;1.06875952944494;1.03498307873796;1.14772688331639
64;2020-10-17;1.11818810342488;1.05788914720638;1.23913360171356
65;2020-10-18;1.16973411229747;1.08224027179575;1.33550970834724
66;2020-10-19;1.1826043276825;1.08767291469542;1.36368028458519
67;2020-10-20;1.18440075822159;1.08843488663951;1.36763800233157
68;2020-10-21;1.1863852549701;1.08918601515556;1.37210831790299
69;2020-10-22;1.18854773696301;1.08990862530714;1.37626789923765
70;2020-10-23;1.19147294450552;1.09104952573059;1.38227675915876
71;2020-10-24;1.29895438764141;1.13774166593536;1.56737167774007
72;2020-10-25;1.43194577474014;1.19543658044522;1.79479904560827
73;2020-10-26;1.47882446355937;1.21245421439506;1.90019597064204
74;2020-10-27;1.49608815373047;1.21918460906387;1.9372834974388
75;2020-10-28;1.50355554773379;1.22192913367211;1.95374891295578
76;2020-10-29;1.52977953514418;1.23073304628582;2.01028039671387
77;2020-10-30;1.54178443398007;1.23469484221671;2.03863603510198
78;2020-10-31;1.83339990704269;1.35678248495492;2.46970319052627
79;2020-11-01;2.09501721020607;1.48691814501902;2.79440304800276
80;2020-11-02;2.16915424612372;1.51118283119634;2.9645930474997
81;2020-11-03;2.19223449421072;1.5179863573578;3.0185342514341
82;2020-11-04;2.21268094452094;1.52382513705011;3.06864323912526
83;2020-11-05;2.2841783535466;1.54581963070074;3.25470504955802
84;2020-11-06;2.30273736810631;1.55161047138702;3.3020476621394
85;2020-11-07;2.5851885135426;1.69697068260136;3.68435566558224
86;2020-11-08;2.84615441045852;1.85607926219601;4.07585461456606
87;2020-11-09;3.0519270342857;1.92474217357941;4.53209500771576
88;2020-11-10;3.20040633507376;2.05480140126818;4.76789780798753
89;2020-11-11;3.2691770863253;2.07648789046599;4.91671237156744
90;2020-11-12;3.336348172585;2.09967256014781;5.05406694179237
91;2020-11-13;3.40723537800192;2.12522255406078;5.18530627987258
92;2020-11-14;3.62995675980557;2.31668472252601;5.4521338703892
93;2020-11-15;3.80215544972837;2.46322294457793;5.72851967537996
94;2020-11-16;4.08984254211413;2.58944876871884;6.18350422877263
95;2020-11-17;4.18350906552309;2.63043423338829;6.33951104774701
96;2020-11-18;4.25595481892591;2.66528241017999;6.46976048662157
97;2020-11-19;4.37011845955318;2.7209964363569;6.64541062719176
98;2020-11-20;4.43573027351084;2.75331207906419;6.73326240490236
99;2020-11-21;4.66857893107428;2.99291778185845;6.92730408872691
100;2020-11-22;4.97085431177454;3.24194297842788;7.20075332266272
101;2020-11-23;5.36245296800086;3.4778895405133;7.66019049892472
102;2020-11-24;5.56752326950979;3.59892157784806;7.89807494230539
103;2020-11-25;5.63770158099126;3.64383296966921;7.98309830509269
104;2020-11-26;5.74186824170601;3.71041611121355;8.09317033954344
105;2020-11-27;5.86251163197565;3.79386905490591;8.21999710821361
106;2020-11-28;6.09132776878316;4.02796937131795;8.38746735965663
107;2020-11-29;6.35121966596121;4.31138304264344;8.55103321055693
108;2020-11-30;6.7030538832662;4.60567496236615;8.90895611694727
109;2020-12-01;6.93483214045655;4.77765434034469;9.17975261784723
110;2020-12-02;7.14990381941177;4.92107280507681;9.46433394687702
111;2020-12-03;7.39372778790226;5.09113690700821;9.74324633033104
112;2020-12-04;7.54527223567814;5.21210362129092;9.89261762738309
113;2020-12-05;7.76960605128803;5.48748286590088;10.0740015655573
114;2020-12-06;8.07396445601509;5.85113638691323;10.302501862948
115;2020-12-07;8.55895754884395;6.3269032604833;10.7566585715205
116;2020-12-08;8.84658632392049;6.61899195162557;10.9922651369669
117;2020-12-09;9.06039297616368;6.83335180729856;11.1751214463189
118;2020-12-10;9.23568968921023;7.00790721903227;11.3227237627654
119;2020-12-11;9.51691992636323;7.27298049911599;11.5666650682445
120;2020-12-12;9.76828985962963;7.66638723322264;11.7504373545278
121;2020-12-13;9.92607300546731;7.91352972173715;11.8687393175605
122;2020-12-14;10.5925035995682;8.62734690129787;12.4280895856133
123;2020-12-15;10.8120620829177;8.8120406859109;12.6318532039896
124;2020-12-16;11.0148915140932;9.07038110240832;12.7893722494337
125;2020-12-17;11.2221328567809;9.28662870562664;12.9907205840593
126;2020-12-18;11.4586277599047;9.50069072295942;13.2590173629002
127;2020-12-19;15.7010816475329;13.4069617792851;17.6318404404695
128;2020-12-20;17.780386030745;15.3644415751657;19.4534282921481
129;2020-12-21;19.5992841877891;17.5702906341557;20.9238493745777
130;2020-12-22;20.357000407902;18.5979799976588;21.4484234274134
131;2020-12-23;20.7826930387065;19.1399354466945;21.779775079471
132;2020-12-24;21.6095221321197;19.9913254438637;22.5444089324894
133;2020-12-25;21.8662532902208;20.4553145506551;22.7025171625847
134;2020-12-26;22.0950990288363;20.7696923309444;22.8903373734863
135;2020-12-27;22.4607748067352;21.2464821934396;23.1497513854772
136;2020-12-28;22.8360457007233;21.7601324966927;23.4113134590768
137;2020-12-29;22.9736420565429;21.9827802977524;23.4985965574325
138;2020-12-30;23.0743651424099;22.1602087150744;23.5632014808144
139;2020-12-31;23.1443554781383;22.3218289466138;23.6086600256831
140;2021-01-01;23.2188445425673;22.4317080171927;23.6591398216105
141;2021-01-02;23.2994258274495;22.5438303283619;23.7247496069199
142;2021-01-03;23.3570010400015;22.6259415293931;23.7666765685965
143;2021-01-04;23.5137689779074;22.8445829498918;23.8725859364897
144;2021-01-05;23.5724456367828;22.9228299158156;23.9091132131626
145;2021-01-06;23.6139776051325;22.982781329097;23.9302400717035
146;2021-01-07;23.6507381453111;23.0400168398503;23.9449573512418
