;all.days;med;lo;up
1;2020-08-15;0;0;0
2;2020-08-16;0;0;0
3;2020-08-17;0;0;0
4;2020-08-18;0;0;0
5;2020-08-19;0;0;0
6;2020-08-20;0;0;0
7;2020-08-21;0;0;0
8;2020-08-22;0;0;0
9;2020-08-23;0;0;0
10;2020-08-24;0;0;0
11;2020-08-25;0;0;0
12;2020-08-26;0;0;0
13;2020-08-27;0;0;0
14;2020-08-28;0;0;0
15;2020-08-29;0;0;0
16;2020-08-30;0;0;0
17;2020-08-31;0;0;0
18;2020-09-01;0;0;0
19;2020-09-02;0;0;0
20;2020-09-03;0;0;0
21;2020-09-04;0;0;0
22;2020-09-05;0;0;0
23;2020-09-06;0;0;0
24;2020-09-07;0;0;0
25;2020-09-08;0;0;0
26;2020-09-09;0;0;2.26373387897919E-07
27;2020-09-10;0;0;3.54534993822377E-07
28;2020-09-11;0;0;4.29344944931818E-07
29;2020-09-12;0;0;5.03342018615112E-07
30;2020-09-13;0;0;5.85633113090612E-07
31;2020-09-14;0;0;6.81568896275042E-07
32;2020-09-15;0;0;7.95693068677739E-07
33;2020-09-16;1.46450577602906E-07;0;9.30035093272207E-07
34;2020-09-17;2.59723813167816E-07;0;1.08245993805946E-06
35;2020-09-18;3.34671743320884E-07;0;1.2689992149957E-06
36;2020-09-19;4.04407392205208E-07;0;1.47297510565875E-06
37;2020-09-20;4.80248612187068E-07;0;1.72349413272906E-06
38;2020-09-21;5.69553615455304E-07;1.68744920085963E-07;2.0012248566232E-06
39;2020-09-22;6.72690921627854E-07;1.9973962006673E-07;2.31129208388625E-06
40;2020-09-23;7.93652509653859E-07;2.34058915142353E-07;2.70227359730904E-06
41;2020-09-24;9.3834694430769E-07;2.75046128281241E-07;3.16347782728209E-06
42;2020-09-25;1.10828074307844E-06;3.20518268451627E-07;3.68821348052327E-06
43;2020-09-26;1.30753344320135E-06;3.79045617338887E-07;4.33366642216649E-06
44;2020-09-27;1.54693133710453E-06;4.44621388234106E-07;5.07431530941599E-06
45;2020-09-28;1.83001162402197E-06;5.23229243674224E-07;5.91868954362551E-06
46;2020-09-29;2.16193783482634E-06;6.12588734482602E-07;6.92741943060795E-06
47;2020-09-30;2.55280690705505E-06;7.17484835256681E-07;8.1235041842098E-06
48;2020-10-01;3.02066605810338E-06;8.38385355135994E-07;9.5370009363289E-06
49;2020-10-02;3.57175361851255E-06;9.76671341530377E-07;1.12157180230489E-05
50;2020-10-03;4.22625879769192E-06;1.13794116703998E-06;1.31292192031133E-05
51;2020-10-04;5.00641410893019E-06;1.33399352090923E-06;1.53474813486763E-05
52;2020-10-05;5.93033435871112E-06;1.54854926751966E-06;1.80651083857347E-05
53;2020-10-06;7.02466740988987E-06;1.80085676108415E-06;2.13698740266632E-05
54;2020-10-07;8.3113905601726E-06;2.08636698025287E-06;2.53020004765098E-05
55;2020-10-08;9.83336360164096E-06;2.45761409329803E-06;2.99237254746014E-05
56;2020-10-09;1.16217601692596E-05;2.86254538654334E-06;3.52207745842366E-05
57;2020-10-10;1.37004462149804E-05;3.337671518477E-06;4.17409703605938E-05
58;2020-10-11;1.62113820825079E-05;3.87164090625158E-06;4.96684969399974E-05
59;2020-10-12;1.91224348621472E-05;4.47829889941879E-06;5.83568703316482E-05
60;2020-10-13;2.25587803615854E-05;5.18766803388863E-06;6.92694481998499E-05
61;2020-10-14;2.67004884737214E-05;6.01041539455839E-06;8.21075303203454E-05
62;2020-10-15;3.15383419988281E-05;6.93792796406953E-06;9.730610089735E-05
63;2020-10-16;3.73004310414789E-05;8.04614469493969E-06;0.000115877268272096
64;2020-10-17;4.3951733447016E-05;9.31378893636622E-06;0.000137740681082488
65;2020-10-18;5.19241553396624E-05;1.07863968250664E-05;0.000163638239685917
66;2020-10-19;6.11519776131957E-05;1.24684375432047E-05;0.00019496670771196
67;2020-10-20;7.20966595029883E-05;1.444581514287E-05;0.000232695652188483
68;2020-10-21;8.52349031158621E-05;1.67217068988421E-05;0.000274913480180198
69;2020-10-22;0.000100539090690592;1.93086047725059E-05;0.000327823218887379
70;2020-10-23;0.000118756643907407;2.22906807023121E-05;0.000396274337139439
71;2020-10-24;0.00013989914989734;2.57886540637344E-05;0.000473483971863683
72;2020-10-25;0.000165499354528317;2.99201425092426E-05;0.000565993799958889
73;2020-10-26;0.000195391971207452;3.4444384554728E-05;0.000678837969718231
74;2020-10-27;0.000230166896653104;3.95922406799695E-05;0.000814458475202532
75;2020-10-28;0.000271755393256545;4.56962864487384E-05;0.00097841437720061
76;2020-10-29;0.000320749874356001;5.28336400053281E-05;0.00117563610586481
77;2020-10-30;0.000377843646292844;6.06729794274872E-05;0.00141467221592221
78;2020-10-31;0.000445574494624367;6.98908447748463E-05;0.00169329232704025
79;2020-11-01;0.000526573331793389;8.00894511689225E-05;0.00202142635926635
80;2020-11-02;0.000621083330276886;9.24276211807161E-05;0.00241114957464923
81;2020-11-03;0.000733997484705397;0.000105865702842091;0.00290148368017625
82;2020-11-04;0.000863564691847087;0.000122729956524908;0.00349120729075059
83;2020-11-05;0.00101795998404547;0.000141770158802715;0.0041876636170254
84;2020-11-06;0.00119948088921204;0.00016329774472343;0.00504664201143897
85;2020-11-07;0.00127844440625853;0.00018104962733939;0.00520602764448288
86;2020-11-08;0.00136260620289448;0.000200731293719017;0.0053704470762316
87;2020-11-09;0.00145230848918983;0.000222552528111965;0.00554005928669428
88;2020-11-10;0.00154792770680925;0.000246745920137188;0.00571502827686816
89;2020-11-11;0.00164984324624647;0.000273569343924582;0.00589552322731399
90;2020-11-12;0.00175846890343214;0.00030330870676085;0.00608216147636999
91;2020-11-13;0.00187424647242875;0.000336280996537028;0.00627474409800675
92;2020-11-14;0.00199764683501391;0.000372837660480022;0.00647342456270484
93;2020-11-15;0.00212917187581518;0.000413368351181599;0.00667839594961999
94;2020-11-16;0.00226935652353723;0.000458305079853245;0.00688985745147308
95;2020-11-17;0.00241877092658349;0.000508126821075894;0.00710801456812697
96;2020-11-18;0.0025780227719206;0.000563364618125923;0.00733298634150188
97;2020-11-19;0.00274775975661694;0.00062460724329441;0.0075634277510697
98;2020-11-20;0.00292867222210717;0.000692507473532248;0.00780111085464464
99;2020-11-21;0.00312149596189674;0.000767789048312353;0.00804626322474588
100;2020-11-22;0.00332701521412562;0.000851254383871912;0.00829976962695027
101;2020-11-23;0.0035460658511624;0.000943793126059741;0.00856189720269501
102;2020-11-24;0.00377953877920119;0.0010463916329524;0.00883230342580641
103;2020-11-25;0.00402838356168795;0.00116014348831301;0.00911124975676612
104;2020-11-26;0.0042936122813132;0.00128626115795433;0.00939900591363473
105;2020-11-27;0.00457630365627818;0.0014260889132497;0.00969585013284675
106;2020-11-28;0.00487760742757606;0.00158111715954181;0.0100020694382423
107;2020-11-29;0.00519874903513155;0.00175299832217393;0.010318639848423
108;2020-11-30;0.00554106870385832;0.00194356445947063;0.0106459505872855
109;2020-12-01;0.00590597550432221;0.00215484679040244;0.0109836437332625
110;2020-12-02;0.00629491322375522;0.00238909734507721;0.0113320486198121
111;2020-12-03;0.00670946441711597;0.0026488129688278;0.0116901350249552
112;2020-12-04;0.00715131585844014;0.00293676193575261;0.0120576445873491
113;2020-12-05;0.00762205908890445;0.00325601345537889;0.0124386154282699
114;2020-12-06;0.00812358848647813;0.00360997038695664;0.0128321447342545
115;2020-12-07;0.00865811838085939;0.00400240551008024;0.0132399701450026
116;2020-12-08;0.00922782019568724;0.00443750173824156;0.0136617999726325
117;2020-12-09;0.00983562156541433;0.00491989670394545;0.0140974487222805
118;2020-12-10;0.0104835527398288;0.00545473219061434;0.0145465089827095
119;2020-12-11;0.0111738533125404;0.00604770893817005;0.0150059366157636
120;2020-12-12;0.0119095135241479;0.00670514740645823;0.0154856109685964
121;2020-12-13;0.0126930594170334;0.00743405514418448;0.0159714446807629
122;2020-12-14;0.0135281560441291;0.00824220148143882;0.0164565342182753
123;2020-12-15;0.014418195010473;0.00913820034194604;0.0169662027988886
124;2020-12-16;0.0153667910602084;0.0101316020577266;0.0175097403637309
125;2020-12-17;0.0163793709528721;0.0112329951648083;0.0181246829305251
126;2020-12-18;0.0174534649359124;0.0124541192650159;0.0188187741548932
127;2020-12-19;0.018578582093989;0.0138079901568164;0.0196059322328012
128;2020-12-20;0.0197520883962556;0.0153090385689747;0.0205036343510564
129;2020-12-21;0.0209802836942099;0.016973263975761;0.0215258394026448
130;2020-12-22;0.0222824933304751;0.018765026004557;0.0226974860876118
131;2020-12-23;0.0236770001703737;0.0206149039244387;0.0240456476180302
132;2020-12-24;0.0252408470742263;0.0221255999120803;0.0256028043639631
133;2020-12-25;0.0269835134058748;0.0231650578325886;0.0274154263336868
134;2020-12-26;0.028894152632034;0.0239646854635036;0.0295412795197881
135;2020-12-27;0.0309499341505021;0.0247277263849117;0.0320582142504517
136;2020-12-28;0.0330219295345652;0.0255150626991649;0.0350720828767591
137;2020-12-29;0.0351995020879234;0.0263237258641301;0.0387254861422262
138;2020-12-30;0.0375148991991882;0.0271572275983174;0.0429621434086374
139;2020-12-31;0.0399861892912657;0.0280171209286062;0.0476334142424952
140;2021-01-01;0.0426217497670987;0.0289042415057412;0.0528125920258665
141;2021-01-02;0.045431024696469;0.0298194514401081;0.0585549014456814
142;2021-01-03;0.0484254639063277;0.0307636401395397;0.0649220455528268
143;2021-01-04;0.0516172719019767;0.0317377251736481;0.0719804897011695
144;2021-01-05;0.0550177975805929;0.0327426531655264;0.0798069232882858
145;2021-01-06;0.0586401686347502;0.0337794007116839;0.0884843244493632
146;2021-01-07;0.0625010365504872;0.0348489753311097;0.0981052188289209
