"";"country";"first.introduced.med";"first.introduced.lo";"first.introduced.up";"first.collected.med";"first.collected.lo";"first.collected.up";"first.submited.med";"first.submited.lo";"first.submited.up";"collected.cond.sub.up";"collected.cond.sub.med";"collected.cond.sub.lo";"Ts";"Ti.lo";"Ti.up";"delta1";"Ti"
"1";"Australia";2020-11-12;2020-10-26;2020-12-11;2020-11-30;2020-11-02;2020-12-26;2020-12-19;2020-11-25;2021-01-09;2020-12-01;2020-11-19;2020-11-01;2020-12-08;2020-12-01;2020-12-01;1;NA
"2";"Austria";2020-11-09;2020-10-12;2020-12-07;2020-12-22;2020-12-17;2021-01-02;2021-01-06;2020-12-25;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"3";"Bahrain";2020-11-20;2020-10-26;2020-12-23;2021-01-08;2021-01-08;2021-01-09;2021-01-08;2021-01-08;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"4";"Bangladesh";2020-11-14;2020-10-20;2020-12-13;2020-12-24;2020-12-19;2021-01-09;2021-01-08;2020-12-25;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"5";"Belarus";2020-11-30;2020-10-27;2021-01-09;2021-01-08;2021-01-08;2021-01-09;2021-01-08;2021-01-08;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"6";"Belgium";2020-10-28;2020-10-03;2020-11-21;2020-12-11;2020-11-15;2020-12-22;2020-12-27;2020-12-07;2021-01-08;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"7";"Bosnia and Herzegovina";2021-01-08;2020-11-10;2021-01-09;2021-01-08;2021-01-07;2021-01-09;2021-01-08;2021-01-08;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"8";"Brazil";2020-11-08;2020-10-18;2020-12-02;2020-12-28;2020-11-05;2021-01-09;2021-01-08;2020-12-20;2021-01-09;2020-12-28;2020-12-21;2020-12-19;2021-01-01;2020-12-22;2020-12-22;1;NA
"9";"Burkina Faso";2021-01-08;2020-11-08;2021-01-09;2021-01-08;2020-12-25;2021-01-09;2021-01-08;2021-01-08;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
"10";"Canada";2020-11-10;2020-10-16;2020-12-10;2020-12-20;2020-11-10;2021-01-03;2021-01-05;2020-12-24;2021-01-09;2020-12-29;2020-12-20;2020-11-15;2020-12-30;2020-12-16;2020-12-16;1;NA
"11";"Chile";2020-12-04;2020-11-02;2021-01-04;2021-01-08;2020-12-20;2021-01-09;2021-01-08;2020-12-29;2021-01-09;2021-01-09;2021-01-08;2021-01-08;NA;2021-01-01;2021-01-01;0;NA
